44.98438572883606 Tr_Time
3.453418731689453 Te_Time
110336 Flops
836559 Parameters
91.00357908868907 Kappa accuracy (%)
91.6833000665336 Overall accuracy (%)
90.35735617092908 Average accuracy (%)
[ 96.32587859  98.88357257  91.09195402  94.37299035 100.
  90.74074074  90.22082019  83.92282958  96.32587859  88.92508143
  92.8802589   85.089141    46.58119658 100.         100.        ]
                 precision    recall  f1-score   support

  Healthy grass       0.93      0.96      0.95       626
 Stressed grass       0.97      0.99      0.98       627
Synthetic grass       1.00      0.91      0.95       348
          Trees       0.97      0.94      0.96       622
           Soil       0.97      1.00      0.98       621
          Water       0.93      0.91      0.92       162
    Residential       0.93      0.90      0.91       634
     Commercial       0.90      0.84      0.87       622
           Road       0.79      0.96      0.87       626
        Highway       0.94      0.89      0.91       614
        Railway       0.90      0.93      0.91       618
  Parking Lot 1       0.88      0.85      0.87       617
  Parking Lot 2       0.96      0.47      0.63       234
   Tennis Court       0.85      1.00      0.92       214
  Running Track       0.90      1.00      0.95       330

       accuracy                           0.92      7515
      macro avg       0.92      0.90      0.91      7515
   weighted avg       0.92      0.92      0.91      7515

[[603  12   0  11   0   0   0   0   0   0   0   0   0   0   0]
 [  7 620   0   0   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0 317   0   0   0   1   0   0   0   0   2   0  18  10]
 [ 19   2   0 587   0   0   7   0   7   0   0   0   0   0   0]
 [  0   0   0   0 621   0   0   0   0   0   0   0   0   0   0]
 [ 11   0   0   0   0 147   0   0   2   2   0   0   0   0   0]
 [  0   0   0   6   0   0 572   9  12   2  20   2   2   0   9]
 [  7   0   0   0  22  10   7 522   2   3   2  24   2   5  16]
 [  0   3   0   0   0   0  12   0 603   0   8   0   0   0   0]
 [  0   0   0   0   0   0   0   0  45 546  23   0   0   0   0]
 [  1   0   0   0   0   1  10   2   6  23 574   1   0   0   0]
 [  0   0   0   0   0   0   5   3  83   1   0 525   0   0   0]
 [  0   0   0   0   0   0   3  46   3   3  14  41 109  15   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0 214   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   0 330]]
